,index,0
999,nihilo,3
1000,culinaire,14
1001,locale,198
1002,vainqueur,165
1003,napoline,1
1004,chocolatier,1
1005,gelencser,1
1006,chocolat,8
1007,noir,234
1008,croustillant,2
1009,caramel,2
1010,tendre,19
1011,terme,725
1012,principaux,350
1013,gouverneurs,35
1014,provinces,176
1015,classe,388
1016,japon,370
1017,ordres,115
1018,shogun,4
1019,muromachi,3
1020,edo,18
1021,prestigieux,46
1022,shugo,3
1023,province,343
1024,sengoku,4
1025,daimyos,7
1026,cependant,1118
1027,utilisait,37
1028,volontiers,21
1029,kokushu,1
1030,gouvernant,6
1031,important,525
1032,incessantes,10
1033,but,435
1034,agrandir,20
1035,leurs,1560
1036,territoires,171
1037,faveur,185
1038,troubles,98
1039,agitaient,2
1040,terres,370
1041,prirent,25
1042,construisant,11
1043,voisins,87
1044,bataille,485
1045,sekigahara,2
1046,daimyo,3
1047,cents,100
1048,princes,97
1049,seigneurs,92
1050,revenu,102
1051,annuel,68
1052,riz,77
1053,moindre,109
1054,appartenaient,15
1055,ayant,85
1056,certaine,171
1057,autonomie,77
1058,assujettis,8
1059,bushido,3
1060,devaient,81
1061,suivre,116
1062,loi,628
1063,maisons,161
1064,buke,1
1065,obligations,34
1066,entretenir,20
1067,demeurer,11
1068,six,668
1069,mois,749
1070,otage,22
1071,famille,878
1072,vassaux,17
1073,voyage,216
1074,consistant,29
1075,hommage,161
1076,appelait,38
1077,dire,576
1078,procession,20
1079,eurent,8
1080,permission,24
1081,navires,137
1082,haute,461
1083,durent,34
1084,veiller,13
1085,christianisme,84
1086,interdit,134
1087,meiji,19
1088,han,14
1089,tous,1569
1090,abolis,6
1091,ken,13
1092,anciens,409
1093,gouvernement,767
1094,tokyo,74
1095,familles,156
1096,connues,96
1097,nabeshima,1
1098,imagawa,1
1099,mori,8
1100,luminy,3
1101,esil,2
1102,tutelle,59
1103,composante,34
1104,aix,29
1105,marseille,116
1106,membre,411
1107,proposait,18
1108,technologie,94
1109,fusionne,46
1110,polytech,3
1111,marseillaises,2
1112,naissance,276
1113,amu,2
1114,toutes,907
1115,cti,1
1116,continuent,56
1117,label,84
1118,regroupe,123
1119,universitaires,54
1120,trentaine,58
1121,normandie,186
1122,royaume,681
1123,abord,530
1124,autonome,86
1125,royal,230
1126,apanage,14
1127,supprime,22
1128,insulaire,14
1129,couronne,164
1130,britannique,340
1131,flandre,57
1132,catalogne,28
1133,milieu,443
1134,pouvoir,913
1135,carolingien,16
1136,raids,19
1137,vikings,70
1138,francs,198
1139,simple,291
1140,chefs,130
1141,rollon,57
1142,seine,104
1143,concession,38
1144,embryon,15
1145,mettent,108
1146,solide,75
1147,puissant,79
1148,atteint,319
1149,quand,649
1150,empare,49
1151,angleterre,408
1152,cinquante,78
1153,destin,55
1154,installation,103
1155,anglo,51
1156,normand,34
1157,rayonnement,57
1158,autrefois,111
1159,auguste,366
1160,confisque,1
1161,rattache,11
1162,tant,806
1163,tel,295
1164,parties,235
1165,appartenant,115
1166,jamais,504
1167,conquise,22
1168,durablement,30
1169,exister,36
1170,jersey,40
1171,guernesey,2
1172,bailliages,9
1173,uni,170
1174,officieux,7
1175,citoyens,151
1176,jarl,11
1177,normands,85
1178,rouen,73
1179,richard,213
1180,donner,263
1181,pairs,30
1182,primitifs,8
1183,officieusement,4
1184,reine,307
1185,bretagne,347
1186,irlande,145
1187,administration,93
1188,reposait,11
